DUACT SP LITORAL,DUACT SP LITORAL,SP,UBATUBA,Rua Capitao Felipe 391,11688-602,119803237728,-23.4607664,-45.0626246,ok,"Rua Capitão Felipe, Itaguá, Ubatuba - SP, 11688-622, Brasil",Ubatuba,Rua Capitão Felipe,Itaguá,,11688-622
Duact Alphaville,Duact Alphaville,SP,ALPHAVILLE,Alameda Amazonas 686,06454-070,119756907077,-23.4934015,-46.843026,ok,"Alameda Amazonas, Alphaville Residencial 1, Alphaville, Barueri - SP, 06454-070, Brasil",Barueri,Alameda Amazonas,Alphaville,Barueri,06454-070
Circuit Store,Circuit Store,GO,Goiania,"Avenida Bela Vista, Quadra 01, Lt 21, salas 01 e 02, Jardim Bela Vista",74863-050,6292421447,-16.67861,-49.25389,ok,"Goiânia, Brasil",Goiânia,,,,
Clinmob,Clinmob,PR,Maripa,,85955-000,45998151393,-24.5632876,-54.0591666,ok,"Paraná Mídias TV, Avenida Maripá 75, Marechal Cândido Rondon - PR, 85960-000, Brasil",Marechal Cândido Rondon,Avenida Maripá,,,85960-000
Veloster,Veloster,PR,Toledo,,85904-270,44998138866,-24.7201909,-53.7448991,ok,"Centro, Toledo - PR, 85904-270, Brasil",Toledo,,Centro,Toledo,85904-270
Clinmob,Clinmob,PR,Palotina,,85950-009,45998151393,-24.2837262,-53.8292031,ok,"Rua Paraná, Pioneiro, Palotina - PR, 85950-000, Brasil",Palotina,Rua Paraná,Pioneiro,,85950-000
Veloster,Veloster,PR,Palotina,,85950-035,44998138866,-24.2837262,-53.8292031,ok,"Rua Paraná, Pioneiro, Palotina - PR, 85950-000, Brasil",Palotina,Rua Paraná,Pioneiro,,85950-000
HF motos,HF motos,PR,Arapongas,,86700-075,4330564060,-23.3773535,-51.4432099,ok,"Jardim Paraná, Arapongas, Região Geográfica Intermediária de Londrina, Brasil",Arapongas,,,Arapongas,
HF motos,HF motos,PR,Apucarena,,86800-007,43999760683,-24.78333,-51.16667,ok,"Apucarana, Cândido de Abreu, Brasil",Apucarana,,,,
HF motos,HF motos,PR,Londrina,,86082-000,4330144682,-23.2596331,-51.1695954,ok,"Vivi Xavier, Londrina - PR, 86082-000, Brasil",Londrina,,Vivi Xavier,Londrina,86082-000
O Tijolao Motos,Tijolao Motos,PR,Ivaipora,,86870-000,43996967501,-24.2436433,-51.6733885,ok,"Região Geográfica Intermediária de Londrina - PR, 86870-000, Brasil",Ivaiporã,,,,86870-000
O Tijolao Motos,Tijolao Motos,PR,Lunardeli,,86935-000,43996967501,-24.0721,-51.76,ok,"PR, 86935-000, Brasil",,,,,86935-000
O Tijolao Motos,Tijolao Motos,PR,Lidianopolis,,86865-000,43996967501,-24.0424596,-51.625244,ok,"Região Geográfica Intermediária de Londrina - PR, 86865-000, Brasil",Lidianópolis,,,,86865-000
Marcell Veiculos Eletricos,Marcell Veiculos Eletricos,PR,Campo Mourão,Av capitão índio bandeira 21320,87300-005,44999659799,-24.0387913,-52.3719149,ok,"Avenida Capitão Índio Bandeira, Campo Mourão - PR, 87300-010, Brasil",Campo Mourão,Avenida Capitão Índio Bandeira,,Campo Mourão,87300-010
Urbe Mobilidade Eletrica,Urbe Mobilidade Eletrica,PR,Maringá,Avenida Presidente Juscelino Kubitschek de Oliveira que está localizado no bairro Zona 02,87010-440,4498473355,,,ok,,,,,,
Sandro Aguiar Cavalheiro,Sandro Aguiar Cavalheiro,SP,Primavera,"Rua Usina de Canoas, 1035",18272-078,18981214329,-22.5329376,-52.9519432,ok,"Rua Usina de Canoas, Primavera, Rosana - SP, 19274-000, Brasil",Rosana,Rua Usina de Canoas,Primavera,,19274-000
Johny Resolve,Johny Resolve,MS,Navirai,"Avenida vicente marques da silva, 183",79950-000,67999584577,-23.0745266,-54.189967,ok,"Avenida Vicente Marques da Silva, Portal Residence II, Naviraí - MS, 79950-000, Brasil",Naviraí,Avenida Vicente Marques da Silva,Portal Residence II,,79950-000
KVA ELETRIC ENGENHARIA,KVA ELETRIC ENGENHARIA,PR,Andirá,Av. Major Barbosa Ferraz Jr 1510,86380-000,,-23.0550637,-50.2270686,ok,"Avenida Major Barbosa Ferraz Júnior, Andirá - PR, 86380-000, Brasil",Andirá,Avenida Major Barbosa Ferraz Júnior,,,86380-000
